Documento,Nombre,Apellido,Genero,Usuario,CorreoAlterno,Nacimiento,Estado,ProgramaAcademico,Jornada,LugarNacimiento,FechaRegistro,NacionalExtranjero
1840487126,Jose Luis,Muniz,M,jmu841,jose luismum48@gmail.com,4/5/1999,ACTIVO,Bioingenieria,Diurno,Escocia,13/5/2016,Extranjero
1474363331,Inmaculada,Nieves,F,ini677,inmaculadanif39@gmail.com,6/9/2005,ACTIVO,Ingenieria Electronica,Nocturno,Kuwait,27/5/2017,Extranjero
1861871112,Diego,Julian,M,dju728,diegojum74@gmail.com,28/9/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,Venezuela,22/6/2016,Extranjero
1460880660,Jose Luis,Morales,M,jmo187,jose luismom92@gmail.com,17/2/1999,ACTIVO,Bioingenieria,Diurno,Francia,3/4/2017,Extranjero
1344455753,Alejandro,Duran,M,adu312,alejandrodum43@gmail.com,19/7/2005,ACTIVO,Ingenieria Ambiental,Diurno,(Colombia/VILLAGOMEZ),27/10/2015,Nacional
1848915752,Javier,Gutierrez,M,jgu351,javiergum69@gmail.com,11/11/2004,ACTIVO,Ingenieria Electronica,Diurno,Brasil,24/12/2016,Extranjero
1785912858,Antonio,Quintana,M,aqu852,antonioqum57@gmail.com,18/8/2002,ACTIVO,Ingenieria Ambiental,Diurno,Svalbard y Jan Mayen,6/12/2019,Extranjero
1520641565,Josefa,Gomez,F,jgo367,josefagof87@gmail.com,18/5/2002,ACTIVO,Ingenieria Electronica,Diurno,Madagascar,24/5/2018,Extranjero
1172203707,Milagros,Lopez,F,mlo589,milagroslof8@gmail.com,8/8/2002,ACTIVO,Bioingenieria,Diurno,Trinidad y Tobago,23/6/2021,Extranjero
1447463417,Juana,Pelaez,F,jpe872,juanapef10@gmail.com,19/12/2005,ACTIVO,Bioingenieria,Diurno,Maldivas,30/6/2018,Extranjero
1856212645,Lucia,Carretero,F,lca525,luciacaf63@gmail.com,17/9/2001,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/SANTUARIO),14/5/2020,Nacional
1835980910,Milagros,Muniz,F,mmu743,milagrosmuf37@gmail.com,2/8/2003,ACTIVO,Bioingenieria,Diurno,México,19/10/2017,Extranjero
1854315635,Manuel,Arellano,M,mar382,manuelarm79@gmail.com,6/5/2003,ACTIVO,Bioingenieria,Diurno,(Colombia/PUERTO TRIUNFO),24/1/2015,Nacional
1783543992,Mercedes,Gonzalez,F,mgo868,mercedesgof30@gmail.com,1/5/2005,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/ALGARROBO),22/1/2022,Nacional
1875879721,Catalina,Arrizabalaga,F,car483,catalinaarf73@gmail.com,15/4/2004,ACTIVO,Bioingenieria,Diurno,Islas Heard y McDonald,2/6/2022,Extranjero
1675434966,Miguel Aï¿½ngel,Trinidad,M,mtr497,miguel aï¿½ngeltrm21@gmail.com,25/5/2002,ACTIVO,Bioingenieria,Diurno,(Colombia/PISBA),10/2/2020,Nacional
1961993856,Rafael,Ordonez,M,ror139,rafaelorm20@gmail.com,9/2/2004,ACTIVO,Ingenieria Industrial,Diurno,Inglaterra,16/12/2019,Extranjero
1639703471,Miguel Aï¿½ngel,Bayona,M,mba129,miguel aï¿½ngelbam43@gmail.com,27/11/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,Irán,26/7/2017,Extranjero
1233639179,Salvador,Aguilar,M,sag661,salvadoragm94@gmail.com,6/8/2004,ACTIVO,Ingenieria Ambiental,Diurno,Albania,2/2/2020,Extranjero
1771772386,Isabel,Perez,F,ipe752,isabelpef24@gmail.com,21/4/2001,ACTIVO,Ingenieria de Sistemas,Nocturno,(Colombia/SAN LORENZO),1/6/2019,Nacional
1521848232,Josefa,Juarez,F,jju598,josefajuf36@gmail.com,23/8/2003,ACTIVO,Bioingenieria,Diurno,(Colombia/EL PEÑÓN),3/12/2016,Nacional
1269880994,Lucia,Moyano,F,lmo505,luciamof65@gmail.com,24/12/2005,ACTIVO,Ingenieria Ambiental,Diurno,Egipto,5/10/2019,Extranjero
1400801579,Manuel,Jover,M,mjo473,manueljom97@gmail.com,28/8/2003,ACTIVO,Ingenieria Electronica,Diurno,El Salvador,14/3/2021,Extranjero
1737021606,Miguel Aï¿½ngel,Vega,M,mve898,miguel aï¿½ngelvem13@gmail.com,22/8/2005,ACTIVO,Ingenieria Electronica,Diurno,(Colombia/FIRAVITOBA),29/9/2015,Nacional
1986101355,Jesus,Herrera,M,jhe874,jesushem38@gmail.com,18/2/1999,ACTIVO,Bioingenieria,Diurno,Nauru,3/11/2016,Extranjero
1634515919,Carmen,Fernandez,F,cfe114,carmenfef99@gmail.com,28/11/2001,ACTIVO,Ingenieria de Sistemas,Nocturno,Irán,21/10/2016,Extranjero
1550563783,Antonio,Alvarez,M,aal528,antonioalm53@gmail.com,26/3/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,(Colombia/TIBANÁ),6/4/2015,Nacional
1054385160,Antonia,Espinosa,F,aes107,antoniaesf4@gmail.com,15/12/2004,ACTIVO,Ingenieria Ambiental,Diurno,Estonia,20/2/2018,Extranjero
1176571302,Angel,Gaona,M,aga476,angelgam65@gmail.com,8/1/2001,ACTIVO,Ingenieria Industrial,Diurno,Isla Bouvet,18/6/2017,Extranjero
1544894223,Francisco,Cruz,M,fcr591,franciscocrm31@gmail.com,28/8/2001,ACTIVO,Bioingenieria,Diurno,(Colombia/SOTAQUIRÁ),14/1/2018,Nacional
1552859981,Begona,Herrera,F,bhe516,begonahef94@gmail.com,25/12/2000,ACTIVO,Ingenieria Electronica,Nocturno,Tanzania,22/5/2019,Extranjero
1988017949,Juana,Nieto,F,jni20,juananif74@gmail.com,22/11/2003,ACTIVO,Ingenieria Electronica,Nocturno,(Colombia/EL ROBLE),8/1/2015,Nacional
1690772319,Isabel,Santiago,F,isa9,isabelsaf90@gmail.com,9/11/2003,ACTIVO,Ingenieria Electronica,Diurno,Comoras,2/5/2016,Extranjero
1276479109,Julia,Lopez,F,jlo130,julialof6@gmail.com,11/10/1999,ACTIVO,Ingenieria de Sistemas,Nocturno,Wallis y Futuna,24/7/2019,Extranjero
1963013873,Monica,Ortiz,F,mor427,monicaorf88@gmail.com,7/7/2005,ACTIVO,Bioingenieria,Diurno,Malí,13/2/2020,Extranjero
1181683288,Antonio,Fernandez,M,afe626,antoniofem13@gmail.com,15/10/2000,ACTIVO,Ingenieria de Sistemas,Diurno,(Colombia/LA FLORIDA),26/6/2020,Nacional
1960325637,Francisco,Velazquez,M,fve277,franciscovem40@gmail.com,11/4/2003,ACTIVO,Ingenieria Ambiental,Diurno,Ucrania,24/7/2022,Extranjero
1504872971,Antonio,Conde,M,aco558,antoniocom68@gmail.com,28/9/2004,ACTIVO,Ingenieria Ambiental,Diurno,Gales,30/11/2019,Extranjero
1445848840,Juan,Tejeda,M,jte35,juantem72@gmail.com,14/11/2000,ACTIVO,Ingenieria Ambiental,Diurno,Kuwait,17/4/2020,Extranjero
1298805159,Angel,Jimenez,M,aji73,angeljim52@gmail.com,5/4/2005,ACTIVO,Ingenieria Electronica,Diurno,Singapur,26/8/2019,Extranjero
1533510652,Josefa,Rico,F,jri82,josefarif5@gmail.com,20/11/2003,ACTIVO,Ingenieria Electronica,Nocturno,Tayikistán,22/5/2016,Extranjero
1814421831,Jose Luis,Guijarro,M,jgu450,jose luisgum26@gmail.com,28/3/2000,ACTIVO,Bioingenieria,Diurno,(Colombia/ALMEIDA),21/12/2020,Nacional
1448693919,Francisco,Salinas,M,fsa462,franciscosam97@gmail.com,4/7/2001,ACTIVO,Ingenieria de Sistemas,Diurno,Jersey,1/6/2022,Extranjero
1922758577,Francisco,Leiva,M,fle362,franciscolem36@gmail.com,9/2/2005,ACTIVO,Ingenieria Ambiental,Diurno,Gales,30/5/2022,Extranjero
1720279201,Jose Luis,Osorio,M,jos799,jose luisosm14@gmail.com,19/11/2000,ACTIVO,Bioingenieria,Diurno,(Colombia/YOTOCO),1/11/2017,Nacional
1878174979,Antonia,Fernandez,F,afe553,antoniafef57@gmail.com,13/7/2003,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/SAN LORENZO),14/12/2021,Nacional
1429652924,Carmen,Blanca,F,cbl740,carmenblf40@gmail.com,25/10/2003,ACTIVO,Ingenieria Industrial,Diurno,Finlandia,5/9/2018,Extranjero
1964817075,Teresa,Calle,F,tca309,teresacaf38@gmail.com,1/12/1999,ACTIVO,Ingenieria Industrial,Diurno,Bután,1/9/2017,Extranjero
1840591180,Cristina,Ilie,F,cil889,cristinailf6@gmail.com,3/10/2002,ACTIVO,Ingenieria Ambiental,Diurno,Brunéi,21/3/2016,Extranjero
1285998790,Santiago,Ares,M,sar600,santiagoarm6@gmail.com,23/9/2003,ACTIVO,Ingenieria Electronica,Diurno,Singapur,6/7/2021,Extranjero
1789901072,Juan,Santos,M,jsa118,juansam68@gmail.com,19/7/2000,ACTIVO,Bioingenieria,Diurno,(Colombia/ARAUCA),14/6/2015,Nacional
1851841193,Francisca,Sola,F,fso654,franciscasof3@gmail.com,24/3/1999,ACTIVO,Ingenieria Ambiental,Diurno,(Colombia/ABREGO),5/10/2019,Nacional
1442473361,Jose Antonio,Jimenez,M,jji128,jose antoniojim88@gmail.com,5/7/2002,ACTIVO,Ingenieria Electronica,Nocturno,Islas Marianas del Norte,7/4/2016,Extranjero
1680815291,Jesus,Llorens,M,jll689,jesusllm97@gmail.com,16/9/2004,ACTIVO,Ingenieria Ambiental,Diurno,Jamahiriya Árabe Libia,3/1/2018,Extranjero
1109423545,Rosa,Ribas,F,rri752,rosarif80@gmail.com,23/2/2005,ACTIVO,Ingenieria Electronica,Diurno,Costa Rica,16/5/2023,Extranjero
1611780062,Francisco Javier,Cuesta,M,fcu513,francisco javiercum64@gmail.com,20/6/2002,ACTIVO,Ingenieria Electronica,Nocturno,Gabón,25/3/2021,Extranjero
1045076069,Alejandro,Parejo,M,apa194,alejandropam3@gmail.com,7/8/1999,ACTIVO,Bioingenieria,Diurno,(Colombia/MAGANGUÉ),29/3/2016,Nacional
1187322110,Laura,Castillo,F,lca43,lauracaf22@gmail.com,3/4/2004,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/SANTIAGO),12/6/2018,Nacional
1602998230,Juan Antonio,Exposito,M,jex422,juan antonioexm87@gmail.com,21/9/2005,ACTIVO,Bioingenieria,Diurno,Gales,18/4/2016,Extranjero
1518073594,Carlos,Murillo,M,cmu567,carlosmum66@gmail.com,28/5/2004,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/PUERTO PARRA),17/1/2016,Nacional
1548180641,Juan Carlos,Barranco,M,jba194,juan carlosbam69@gmail.com,27/5/2003,ACTIVO,Ingenieria de Sistemas,Diurno,Georgia del Sur e Islas Sandwich del Sur,10/8/2023,Extranjero
1907486238,Francisco,Frances,M,ffr176,franciscofrm31@gmail.com,23/5/2001,ACTIVO,Ingenieria Industrial,Diurno,Antigua y Barbuda,2/11/2021,Extranjero
1992315768,Carmen,Carranza,F,cca3,carmencaf36@gmail.com,9/7/2003,ACTIVO,Ingenieria de Sistemas,Diurno,Eslovenia,15/1/2018,Extranjero
1052733156,Ramon,Carril,M,rca91,ramoncam36@gmail.com,19/5/2004,ACTIVO,Bioingenieria,Diurno,(Colombia/PUERTO SALGAR),18/8/2018,Nacional
1648208290,Vicente,Ruiz,M,vru211,vicenterum1@gmail.com,1/11/1999,ACTIVO,Ingenieria Electronica,Diurno,Panamá,9/2/2018,Extranjero
1503709772,Pilar,Lujan,F,plu464,pilarluf91@gmail.com,28/11/2004,ACTIVO,Bioingenieria,Diurno,Isla Bouvet,8/10/2022,Extranjero
1992513510,Jose Luis,Amoros,M,jam207,jose luisamm6@gmail.com,19/1/2001,ACTIVO,Ingenieria Electronica,Nocturno,Bahréin,29/2/2020,Extranjero
1781162835,Ainhoa,Torres,F,ato118,ainhoatof18@gmail.com,7/11/2004,ACTIVO,Ingenieria Industrial,Diurno,Tailandia,23/2/2020,Extranjero
1222001108,Mercedes,Martin,F,mma219,mercedesmaf46@gmail.com,19/9/2004,ACTIVO,Bioingenieria,Diurno,Somalia,30/9/2019,Extranjero
1534955651,Raul,Catala,M,rca479,raulcam39@gmail.com,4/2/2005,ACTIVO,Ingenieria Electronica,Diurno,(Colombia/BARRANCAS),23/6/2018,Nacional
1552740750,Andrea,Fernandez,F,afe556,andreafef99@gmail.com,14/4/2004,ACTIVO,Ingenieria de Sistemas,Diurno,Finlandia,23/12/2017,Extranjero
1376420660,Teresa,Alvarez,F,tal600,teresaalf32@gmail.com,2/9/2000,ACTIVO,Bioingenieria,Diurno,Senegal,28/11/2017,Extranjero
1615916403,Sergio,Gonzalez,M,sgo359,sergiogom10@gmail.com,14/12/2005,ACTIVO,Bioingenieria,Diurno,Vietnam,21/5/2017,Extranjero
1278853480,Sergio,Losada,M,slo30,sergiolom16@gmail.com,24/9/2003,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/BOGOTA D.C.),6/6/2020,Nacional
1051629036,Alfonso,Julian,M,aju573,alfonsojum66@gmail.com,1/10/2002,ACTIVO,Bioingenieria,Diurno,(Colombia/PUERTO ESCONDIDO),21/12/2018,Nacional
1382837259,Alvaro,DAÂ­az,M,ada321,alvarodam17@gmail.com,13/2/2003,ACTIVO,Bioingenieria,Diurno,(Colombia/RÍO FRÍO),20/12/2016,Nacional
1961977167,Angel,Alvarez,M,aal803,angelalm30@gmail.com,15/2/2002,ACTIVO,Ingenieria Ambiental,Diurno,Liberia,28/9/2017,Extranjero
1962471799,Miguel,Munoz,M,mmu349,miguelmum29@gmail.com,12/9/1999,ACTIVO,Ingenieria Ambiental,Diurno,Djibouti,5/2/2019,Extranjero
1788974224,Josefa,Bernardez,F,jbe121,josefabef57@gmail.com,11/2/2003,ACTIVO,Bioingenieria,Diurno,(Colombia/TIBACUY),19/4/2021,Nacional
1303261095,Miguel,Roca,M,mro784,miguelrom4@gmail.com,8/12/2002,ACTIVO,Ingenieria de Sistemas,Diurno,Emiratos Árabes Unidos,24/5/2018,Extranjero
1588867264,Natalia,Nieto,F,nni545,natalianif72@gmail.com,1/8/2000,ACTIVO,Bioingenieria,Diurno,Macedonia del Norte,14/8/2018,Extranjero
1898785209,Marta,Lopez,F,mlo838,martalof60@gmail.com,25/6/2003,ACTIVO,Ingenieria Industrial,Diurno,Siria,21/8/2018,Extranjero
1233367667,Antonio,Neira,M,ane763,antonionem33@gmail.com,21/2/2001,ACTIVO,Bioingenieria,Diurno,(Colombia/MIRITI - PARANÁ),12/3/2018,Nacional
1888506311,Miguel Aï¿½ngel,Sanchez,M,msa193,miguel aï¿½ngelsam72@gmail.com,11/6/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,Hong Kong,22/1/2018,Extranjero
1056841568,Pilar,Robles,F,pro759,pilarrof20@gmail.com,3/3/2001,ACTIVO,Ingenieria Industrial,Diurno,Mónaco,20/4/2021,Extranjero
1378983303,Antonia,Casal,F,aca238,antoniacaf42@gmail.com,13/5/2001,ACTIVO,Ingenieria Electronica,Nocturno,Macao,21/3/2016,Extranjero
1267054501,Juan Jose,Godoy,M,jgo299,juan josegom53@gmail.com,20/4/2001,ACTIVO,Ingenieria Industrial,Diurno,Lesoto,6/11/2017,Extranjero
1128917568,Monica,Castillo,F,mca409,monicacaf76@gmail.com,12/7/2003,ACTIVO,Ingenieria Electronica,Diurno,Eslovenia,27/6/2019,Extranjero
1300706646,Jose,Cortes,M,jco431,josecom10@gmail.com,1/11/2004,ACTIVO,Bioingenieria,Diurno,San Vicente y las Granadinas,28/12/2020,Extranjero
1743629987,Marta,Marcos,F,mma591,martamaf14@gmail.com,2/10/1999,ACTIVO,Ingenieria Ambiental,Diurno,Lesoto,13/11/2022,Extranjero
1569396097,Anna,Mera,F,ame893,annamef93@gmail.com,7/12/2002,ACTIVO,Ingenieria Ambiental,Diurno,Estonia,16/11/2018,Extranjero
1649827639,Jose Antonio,Nunez,M,jnu668,jose antonionum17@gmail.com,27/2/2005,ACTIVO,Ingenieria Electronica,Diurno,Corea del Sur,27/1/2019,Extranjero
1934021387,Angel,Merino,M,ame254,angelmem23@gmail.com,16/9/1999,ACTIVO,Ingenieria Electronica,Nocturno,(Colombia/SIBUNDOY),21/4/2022,Nacional
1680255529,Mercedes,Gutierrez,F,mgu316,mercedesguf80@gmail.com,11/9/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,Guatemala,9/11/2017,Extranjero
1434735111,Miguel,Cueto,M,mcu314,miguelcum75@gmail.com,1/8/2002,ACTIVO,Ingenieria Electronica,Nocturno,Seychelles,10/10/2020,Extranjero
1918006918,Francisco Javier,Sanchez,M,fsa570,francisco javiersam66@gmail.com,20/5/2000,ACTIVO,Ingenieria de Sistemas,Nocturno,Colombia,30/4/2023,Extranjero
1890443064,Marta,Del Castillo,F,mde628,martadef36@gmail.com,19/1/2002,ACTIVO,Bioingenieria,Diurno,(Colombia/SOMONDOCO),7/2/2015,Nacional
1617287226,Rafael,Alonso,M,ral350,rafaelalm48@gmail.com,25/9/1999,ACTIVO,Ingenieria Ambiental,Diurno,Islandia,23/5/2018,Extranjero
1708033668,Javier,Cano,M,jca211,javiercam28@gmail.com,1/6/2001,ACTIVO,Ingenieria Ambiental,Diurno,Groenlandia,6/8/2016,Extranjero
1608066247,Manuel,Ortiz,M,mor448,manuelorm12@gmail.com,16/5/2004,ACTIVO,Ingenieria Ambiental,Diurno,(Colombia/PALMITO),17/11/2016,Nacional
1475364946,Rafaela,Perez,F,rpe408,rafaelapef16@gmail.com,5/5/2002,ACTIVO,Ingenieria Electronica,Diurno,(Colombia/SANTIAGO DE TOLÚ),14/10/2016,Nacional
1948927368,Alfonso,Padilla,M,apa814,alfonsopam12@gmail.com,9/8/2005,ACTIVO,Ingenieria Ambiental,Diurno,Dinamarca,16/8/2021,Extranjero
1908104913,Josefa,Marques,F,jma358,josefamaf51@gmail.com,13/5/2000,ACTIVO,Ingenieria Electronica,Diurno,Sudáfrica,29/11/2019,Extranjero
1040337245,Miguel Aï¿½ngel,Rubio,M,mru828,miguel aï¿½ngelrum77@gmail.com,9/5/2005,ACTIVO,Bioingenieria,Diurno,Bolivia,9/2/2021,Extranjero
1654252506,Manuela,Mengual,F,mme224,manuelamef81@gmail.com,6/4/2000,ACTIVO,Ingenieria de Sistemas,Diurno,Islas Marshall,11/4/2020,Extranjero
1526589552,Miguel Aï¿½ngel,Fernandez,M,mfe271,miguel aï¿½ngelfem73@gmail.com,8/3/2005,ACTIVO,Ingenieria Electronica,Diurno,Nepal,15/10/2021,Extranjero
1360599166,Francisco,Carranza,M,fca186,franciscocam47@gmail.com,18/7/1999,ACTIVO,Bioingenieria,Diurno,(Colombia/LA DORADA),4/5/2021,Nacional
1561471611,Dolores,Atienza,F,dat26,doloresatf85@gmail.com,20/1/2004,ACTIVO,Ingenieria Electronica,Nocturno,(Colombia/YACUANQUER),25/9/2022,Nacional
1885548232,Enrique,Guerrero,M,egu240,enriquegum43@gmail.com,3/9/1999,ACTIVO,Ingenieria Ambiental,Diurno,Islas menores alejadas de los Estados Unidos,25/10/2019,Extranjero
1063016507,Juan Jose,Campos,M,jca459,juan josecam22@gmail.com,9/4/2005,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/VILLAHERMOSA),10/7/2020,Nacional
1942548610,Francisco Javier,Pinero,M,fpi103,francisco javierpim34@gmail.com,7/1/2005,ACTIVO,Ingenieria Industrial,Diurno,Federación Rusa,3/5/2023,Extranjero
1784203081,Alejandro,Lastra,M,ala270,alejandrolam67@gmail.com,4/2/2005,ACTIVO,Bioingenieria,Diurno,Omán,24/10/2017,Extranjero
1066500522,Inmaculada,Asensio,F,ias439,inmaculadaasf71@gmail.com,19/9/2000,ACTIVO,Ingenieria Industrial,Diurno,Serbia,15/7/2018,Extranjero
1118351029,Cristina,Cabrera,F,cca714,cristinacaf23@gmail.com,10/11/2003,ACTIVO,Ingenieria de Sistemas,Nocturno,Rumania,20/7/2019,Extranjero
1569142559,Francisco,Santiago,M,fsa93,franciscosam61@gmail.com,17/6/2003,ACTIVO,Ingenieria Industrial,Diurno,(Colombia/GONZÁLEZ),25/7/2016,Nacional
1694743693,Antonio,Otero,M,aot616,antoniootm80@gmail.com,8/11/2001,ACTIVO,Ingenieria de Sistemas,Nocturno,Guernsey,23/10/2022,Extranjero
1220583198,Juan Antonio,GarcAÂ­a,M,jga82,juan antoniogam17@gmail.com,22/11/2005,ACTIVO,Ingenieria Ambiental,Diurno,Lituania,21/3/2021,Extranjero
1747792410,Jorge,Abad,M,jab881,jorgeabm40@gmail.com,26/5/2005,ACTIVO,Ingenieria de Sistemas,Nocturno,Ciudad del Vaticano,1/11/2020,Extranjero
1996787056,Angel,Gonzalez,M,ago20,angelgom40@gmail.com,25/7/2005,ACTIVO,Ingenieria Industrial,Diurno,Guayana Francesa,16/4/2023,Extranjero
1505345679,Marina,Casas,F,mca331,marinacaf2@gmail.com,22/4/2004,ACTIVO,Ingenieria de Sistemas,Diurno,Chipre,2/11/2023,Extranjero
1333849442,Beatriz,Catalan,F,bca719,beatrizcaf35@gmail.com,4/11/2004,ACTIVO,Bioingenieria,Diurno,Camerún,12/12/2022,Extranjero
1636544288,Miguel,Marco,M,mma636,miguelmam20@gmail.com,11/4/2000,ACTIVO,Ingenieria Ambiental,Diurno,(Colombia/EL PAUJIL),2/10/2022,Nacional
1247802176,Carmen,Fernandez,F,cfe607,carmenfef39@gmail.com,27/9/2003,ACTIVO,Ingenieria Ambiental,Diurno,Trinidad y Tobago,25/7/2023,Extranjero
1114391042,Juana,Cabrera,F,jca584,juanacaf57@gmail.com,21/6/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,(Colombia/ARBELÁEZ),9/7/2019,Nacional
1573724303,Pablo,Esteve,M,pes309,pabloesm37@gmail.com,26/10/2000,ACTIVO,Ingenieria Industrial,Diurno,Emiratos Árabes Unidos,23/11/2018,Extranjero
1754520356,Manuel,Carrion,M,mca203,manuelcam42@gmail.com,9/6/2000,ACTIVO,Bioingenieria,Diurno,(Colombia/CALAMAR),7/10/2022,Nacional
1347797796,Alicia,Saez,F,asa881,aliciasaf67@gmail.com,1/5/2003,ACTIVO,Bioingenieria,Diurno,Israel,13/7/2021,Extranjero
1215123362,Isabel,Morales,F,imo631,isabelmof81@gmail.com,17/3/2002,ACTIVO,Ingenieria Electronica,Diurno,(Colombia/PUERTO CARREÑO),22/2/2016,Nacional
1143053076,Sergio,Moya,M,smo521,sergiomom19@gmail.com,21/4/2005,ACTIVO,Ingenieria de Sistemas,Nocturno,(Colombia/CAREPA),3/6/2022,Nacional
1528975108,Angeles,Casado,F,aca51,angelescaf87@gmail.com,17/3/2003,ACTIVO,Ingenieria Electronica,Diurno,India,27/12/2023,Extranjero
1680418686,Jaume,Ferri,M,jfe880,jaumefem68@gmail.com,28/2/2002,ACTIVO,Bioingenieria,Diurno,(Colombia/NOBSA),14/3/2020,Nacional
1586213284,Ana,Alarcon,F,aal61,anaalf94@gmail.com,11/10/2002,ACTIVO,Ingenieria de Sistemas,Nocturno,Finlandia,29/10/2023,Extranjero
1160977436,Rosa,Pons,F,rpo497,rosapof79@gmail.com,18/1/1999,ACTIVO,Ingenieria Industrial,Diurno,Isla Norfolk,14/5/2018,Extranjero
1317511739,Adrian,Rey,M,are133,adrianrem53@gmail.com,19/3/2003,ACTIVO,Ingenieria Electronica,Diurno,Senegal,10/1/2021,Extranjero
1108726699,Manuel,Castano,M,mca694,manuelcam9@gmail.com,6/11/2005,ACTIVO,Bioingenieria,Diurno,Georgia,4/9/2018,Extranjero
1499046888,Javier,Rico,M,jri234,javierrim33@gmail.com,26/6/2000,ACTIVO,Ingenieria Industrial,Diurno,India,30/12/2021,Extranjero
1621513509,Mohamed,Moreno,M,mmo609,mohamedmom56@gmail.com,11/7/2003,ACTIVO,Ingenieria Industrial,Diurno,San Vicente y las Granadinas,3/10/2018,Extranjero
1682234465,Diego,Alfaro,M,dal842,diegoalm22@gmail.com,9/2/2004,ACTIVO,Bioingenieria,Diurno,Kazajstán,10/5/2020,Extranjero
1991196401,Ignacio,Hernandez,M,ihe275,ignaciohem80@gmail.com,15/9/1999,ACTIVO,Ingenieria Electronica,Nocturno,Isla de Man,13/7/2023,Extranjero
1583926196,Jesus,Gutierrez,M,jgu472,jesusgum19@gmail.com,7/6/2001,ACTIVO,Bioingenieria,Diurno,(Colombia/VALDIVIA),23/6/2017,Nacional
1582535657,Antonia,Lopez,F,alo536,antonialof50@gmail.com,21/11/2003,ACTIVO,Ingenieria Ambiental,Diurno,Antártida,13/10/2018,Extranjero
1162318448,Jose Antonio,Ruiz,M,jru33,jose antoniorum92@gmail.com,14/7/2004,ACTIVO,Ingenieria Industrial,Diurno,Alemania,6/11/2023,Extranjero
